Абрикосовий, пров.
Авіаційна, вул.
Авіаційний, пров.
Автоагрегатчиків, вул.
Автобазівська, вул.
Адміністративна, вул.
Аеродромна, вул.
Аеронавтів, вул.
Академіка Євгена Федорова пров.
Алмазна, вул.
Амундсена, вул.
Андріївський, пров.
Арктичний, пров.
Астрономічна, вул.
Балакіна, вул.
Баленка, вул.
Балкова, вул.
Барвистий, пров.
Барикадна, вул.
Барки Василя, вул.
Баяна, вул.
Безвірницька, вул.
Берегова, вул.
Берестова, вул.
Бистовський, пров.
Бібліотечна, вул.
Бідного Олександра, вул.
Бірюзова Маршала, вул.
Благовісна, вул.
Блакитний, пров.
Богуна, вул.
Бойовий, пров.
Боровиковського, бульв.
Бородая, вул.
Ботанічний, пров.
Братів Шеметів, пров.
Брестський, пров.
Бригадна, вул.
Бугрова, вул.
Бумажний, пров.
Будівельний, пров.
Бульварний, пров.
